Year,Month,Day,Hour,DNI
2016,1,23,13,0
2016,1,23,14,4
2016,1,23,15,0
2016,1,23,16,0
2016,1,23,17,0
2016,1,23,18,0
2016,1,23,19,0
2016,1,23,20,0
2016,1,23,21,0
2016,1,23,22,0
2016,1,23,23,0
2016,1,24,0,0
2016,1,24,1,0
2016,1,24,2,0
2016,1,24,3,0
2016,1,24,4,0
2016,1,24,5,0
2016,1,24,6,0
2016,1,24,7,0
2016,1,24,8,0
2016,1,24,9,0
2016,1,24,10,0
2016,1,24,11,43
2016,1,24,12,0
2016,1,24,13,0
2016,1,24,14,0
2016,1,24,15,0
2016,1,24,16,0
2016,1,24,17,0
2016,1,24,18,0
2016,1,24,19,0
2016,1,24,20,0
2016,1,24,21,0
2016,1,24,22,0
2016,1,24,23,0
2016,1,25,0,0
2016,1,25,1,0
2016,1,25,2,0
2016,1,25,3,0
2016,1,25,4,0
2016,1,25,5,0
2016,1,25,6,0
2016,1,25,7,0
2016,1,25,8,134
2016,1,25,9,213
2016,1,25,10,858
2016,1,25,11,581
2016,1,25,12,504
2016,1,25,13,633
2016,1,25,14,447
2016,1,25,15,373
2016,1,25,16,610
2016,1,25,17,0
2016,1,25,18,0
2016,1,25,19,0
2016,1,25,20,0
2016,1,25,21,0
2016,1,25,22,0
2016,1,25,23,0
2016,1,26,0,0
2016,1,26,1,0
2016,1,26,2,0
2016,1,26,3,0
2016,1,26,4,0
2016,1,26,5,0
2016,1,26,6,0
2016,1,26,7,0
2016,1,26,8,514
2016,1,26,9,755
2016,1,26,10,859
2016,1,26,11,604
2016,1,26,12,920
2016,1,26,13,913
2016,1,26,14,875
2016,1,26,15,795
2016,1,26,16,621
2016,1,26,17,0
2016,1,26,18,0
2016,1,26,19,0
2016,1,26,20,0
2016,1,26,21,0
2016,1,26,22,0
2016,1,26,23,0
2016,1,27,0,0
2016,1,27,1,0
2016,1,27,2,0
2016,1,27,3,0
2016,1,27,4,0
2016,1,27,5,0
2016,1,27,6,0
2016,1,27,7,0
2016,1,27,8,542
2016,1,27,9,780
2016,1,27,10,877
2016,1,27,11,911
2016,1,27,12,914
2016,1,27,13,894
2016,1,27,14,525
2016,1,27,15,761
2016,1,27,16,572
2016,1,27,17,0
2016,1,27,18,0
2016,1,27,19,0
2016,1,27,20,0
2016,1,27,21,0
2016,1,27,22,0
2016,1,27,23,0
2016,1,28,0,0
2016,1,28,1,0
2016,1,28,2,0
2016,1,28,3,0
2016,1,28,4,0
2016,1,28,5,0
2016,1,28,6,0
2016,1,28,7,0
2016,1,28,8,528
2016,1,28,9,766
2016,1,28,10,436
2016,1,28,11,683
2016,1,28,12,74
2016,1,28,13,917
2016,1,28,14,583
2016,1,28,15,371
2016,1,28,16,654
2016,1,28,17,0
2016,1,28,18,0
2016,1,28,19,0
2016,1,28,20,0
2016,1,28,21,0
2016,1,28,22,0
2016,1,28,23,0
2016,1,29,0,0
2016,1,29,1,0
2016,1,29,2,0
2016,1,29,3,0
2016,1,29,4,0
2016,1,29,5,0
2016,1,29,6,0
2016,1,29,7,0
2016,1,29,8,261
2016,1,29,9,363
2016,1,29,10,296
2016,1,29,11,51
2016,1,29,12,13
2016,1,29,13,30
2016,1,29,14,362
2016,1,29,15,237
2016,1,29,16,189
2016,1,29,17,0
2016,1,29,18,0
2016,1,29,19,0
2016,1,29,20,0
2016,1,29,21,0
2016,1,29,22,0
2016,1,29,23,0
2016,1,30,0,0
2016,1,30,1,0
2016,1,30,2,0
2016,1,30,3,0
2016,1,30,4,0
2016,1,30,5,0
2016,1,30,6,0
2016,1,30,7,0
2016,1,30,8,0
2016,1,30,9,0
2016,1,30,10,0
2016,1,30,11,0
2016,1,30,12,0
2016,1,30,13,0
2016,1,30,14,11
2016,1,30,15,10
2016,1,30,16,0
2016,1,30,17,0
2016,1,30,18,0
2016,1,30,19,0
2016,1,30,20,0
2016,1,30,21,0
2016,1,30,22,0
2016,1,30,23,0
2016,1,31,0,0
2016,1,31,1,0
2016,1,31,2,0
2016,1,31,3,0
2016,1,31,4,0
2016,1,31,5,0
2016,1,31,6,0
2016,1,31,7,0
2016,1,31,8,69
2016,1,31,9,110
2016,1,31,10,92
2016,1,31,11,380
2016,1,31,12,430
2016,1,31,13,137
2016,1,31,14,174
2016,1,31,15,64
2016,1,31,16,43
2016,1,31,17,0
2016,1,31,18,0
2016,1,31,19,0
2016,1,31,20,0
2016,1,31,21,0
2016,1,31,22,0
2016,1,31,23,0
2016,2,1,0,0
2016,2,1,1,0
2016,2,1,2,0
2016,2,1,3,0
2016,2,1,4,0
2016,2,1,5,0
2016,2,1,6,0
2016,2,1,7,0
2016,2,1,8,0
2016,2,1,9,0
2016,2,1,10,85
2016,2,1,11,4
2016,2,1,12,28
2016,2,1,13,169
2016,2,1,14,197
2016,2,1,15,131
2016,2,1,16,102
2016,2,1,17,0
2016,2,1,18,0
2016,2,1,19,0
2016,2,1,20,0
2016,2,1,21,0
2016,2,1,22,0
2016,2,1,23,0
2016,2,2,0,0
2016,2,2,1,0
2016,2,2,2,0
2016,2,2,3,0
2016,2,2,4,0
2016,2,2,5,0
2016,2,2,6,0
2016,2,2,7,0
2016,2,2,8,0
2016,2,2,9,5
2016,2,2,10,488
2016,2,2,11,107
2016,2,2,12,30
2016,2,2,13,45
2016,2,2,14,43
2016,2,2,15,38
2016,2,2,16,20
2016,2,2,17,0
2016,2,2,18,0
2016,2,2,19,0
2016,2,2,20,0
2016,2,2,21,0
2016,2,2,22,0
2016,2,2,23,0
2016,2,3,0,0
2016,2,3,1,0
2016,2,3,2,0
2016,2,3,3,0
2016,2,3,4,0
2016,2,3,5,0
2016,2,3,6,0
2016,2,3,7,0
2016,2,3,8,33
2016,2,3,9,65
2016,2,3,10,65
2016,2,3,11,386
2016,2,3,12,369
2016,2,3,13,264
2016,2,3,14,230
2016,2,3,15,207
2016,2,3,16,693
2016,2,3,17,257
2016,2,3,18,0
2016,2,3,19,0
2016,2,3,20,0
2016,2,3,21,0
2016,2,3,22,0
2016,2,3,23,0
2016,2,4,0,0
2016,2,4,1,0
2016,2,4,2,0
2016,2,4,3,0
2016,2,4,4,0
2016,2,4,5,0
2016,2,4,6,0
2016,2,4,7,0
2016,2,4,8,63
2016,2,4,9,109
2016,2,4,10,16
2016,2,4,11,14
2016,2,4,12,0
2016,2,4,13,0
2016,2,4,14,0
2016,2,4,15,0
2016,2,4,16,0
2016,2,4,17,0
2016,2,4,18,0
2016,2,4,19,0
2016,2,4,20,0
2016,2,4,21,0
2016,2,4,22,0
2016,2,4,23,0
2016,2,5,0,0
2016,2,5,1,0
2016,2,5,2,0
2016,2,5,3,0
2016,2,5,4,0
2016,2,5,5,0
2016,2,5,6,0
2016,2,5,7,0
2016,2,5,8,51
2016,2,5,9,85
2016,2,5,10,218
2016,2,5,11,411
2016,2,5,12,580
2016,2,5,13,413
2016,2,5,14,905
2016,2,5,15,839
2016,2,5,16,695
2016,2,5,17,287
2016,2,5,18,0
2016,2,5,19,0
2016,2,5,20,0
2016,2,5,21,0
2016,2,5,22,0
2016,2,5,23,0
2016,2,6,0,0
2016,2,6,1,0
2016,2,6,2,0
2016,2,6,3,0
2016,2,6,4,0
2016,2,6,5,0
2016,2,6,6,0
2016,2,6,7,0
2016,2,6,8,586
2016,2,6,9,796
2016,2,6,10,891
2016,2,6,11,935
2016,2,6,12,707
2016,2,6,13,529
2016,2,6,14,297
2016,2,6,15,12
2016,2,6,16,0
2016,2,6,17,0
2016,2,6,18,0
2016,2,6,19,0
2016,2,6,20,0
2016,2,6,21,0
2016,2,6,22,0
2016,2,6,23,0
2016,2,7,0,0
2016,2,7,1,0
2016,2,7,2,0
2016,2,7,3,0
2016,2,7,4,0
2016,2,7,5,0
2016,2,7,6,0
2016,2,7,7,0
2016,2,7,8,580
2016,2,7,9,782
2016,2,7,10,873
2016,2,7,11,913
2016,2,7,12,639
2016,2,7,13,607
2016,2,7,14,886
2016,2,7,15,501
2016,2,7,16,664
2016,2,7,17,270
2016,2,7,18,0
2016,2,7,19,0
2016,2,7,20,0
2016,2,7,21,0
2016,2,7,22,0
2016,2,7,23,0
2016,2,8,0,0
2016,2,8,1,0
2016,2,8,2,0
2016,2,8,3,0
2016,2,8,4,0
2016,2,8,5,0
2016,2,8,6,0
2016,2,8,7,0
2016,2,8,8,427
2016,2,8,9,627
2016,2,8,10,883
2016,2,8,11,649
2016,2,8,12,753
2016,2,8,13,670
2016,2,8,14,716
2016,2,8,15,818
2016,2,8,16,674
2016,2,8,17,302
2016,2,8,18,0
2016,2,8,19,0
2016,2,8,20,0
2016,2,8,21,0
2016,2,8,22,0
2016,2,8,23,0
2016,2,9,0,0
2016,2,9,1,0
2016,2,9,2,0
2016,2,9,3,0
2016,2,9,4,0
2016,2,9,5,0
2016,2,9,6,0
2016,2,9,7,0
2016,2,9,8,623
2016,2,9,9,820
2016,2,9,10,912
2016,2,9,11,955
2016,2,9,12,973
2016,2,9,13,971
2016,2,9,14,945
2016,2,9,15,884
2016,2,9,16,753
2016,2,9,17,394
2016,2,9,18,0
2016,2,9,19,0
2016,2,9,20,0
2016,2,9,21,0
2016,2,9,22,0
2016,2,9,23,0
2016,2,10,0,0
2016,2,10,1,0
2016,2,10,2,0
2016,2,10,3,0
2016,2,10,4,0
2016,2,10,5,0
2016,2,10,6,0
2016,2,10,7,0
2016,2,10,8,614
2016,2,10,9,54
2016,2,10,10,190
2016,2,10,11,0
2016,2,10,12,0
2016,2,10,13,8
2016,2,10,14,206
2016,2,10,15,101
2016,2,10,16,738
2016,2,10,17,381
2016,2,10,18,0
2016,2,10,19,0
2016,2,10,20,0
2016,2,10,21,0
2016,2,10,22,0
2016,2,10,23,0
2016,2,11,0,0
2016,2,11,1,0
2016,2,11,2,0
2016,2,11,3,0
2016,2,11,4,0
2016,2,11,5,0
2016,2,11,6,0
2016,2,11,7,0
2016,2,11,8,78
2016,2,11,9,113
2016,2,11,10,23
2016,2,11,11,64
2016,2,11,12,192
2016,2,11,13,185
2016,2,11,14,226
2016,2,11,15,498
2016,2,11,16,688
2016,2,11,17,334
2016,2,11,18,0
2016,2,11,19,0
2016,2,11,20,0
2016,2,11,21,0
2016,2,11,22,0
2016,2,11,23,0
2016,2,12,0,0
2016,2,12,1,0
2016,2,12,2,0
2016,2,12,3,0
2016,2,12,4,0
2016,2,12,5,0
2016,2,12,6,0
2016,2,12,7,0
2016,2,12,8,0
2016,2,12,9,3
2016,2,12,10,11
2016,2,12,11,41
2016,2,12,12,89
2016,2,12,13,88
2016,2,12,14,56
2016,2,12,15,286
2016,2,12,16,647
2016,2,12,17,285
2016,2,12,18,0
2016,2,12,19,0
2016,2,12,20,0
2016,2,12,21,0
2016,2,12,22,0
2016,2,12,23,0
2016,2,13,0,0
2016,2,13,1,0
2016,2,13,2,0
2016,2,13,3,0
2016,2,13,4,0
2016,2,13,5,0
2016,2,13,6,0
2016,2,13,7,0
2016,2,13,8,8
2016,2,13,9,39
2016,2,13,10,359
2016,2,13,11,117
2016,2,13,12,278
2016,2,13,13,74
2016,2,13,14,522
2016,2,13,15,819
2016,2,13,16,671
2016,2,13,17,322
2016,2,13,18,0
2016,2,13,19,0
2016,2,13,20,0
2016,2,13,21,0
2016,2,13,22,0
2016,2,13,23,0
2016,2,14,0,0
2016,2,14,1,0
2016,2,14,2,0
2016,2,14,3,0
2016,2,14,4,0
2016,2,14,5,0
2016,2,14,6,0
2016,2,14,7,0
2016,2,14,8,0
2016,2,14,9,0
2016,2,14,10,0
2016,2,14,11,17
2016,2,14,12,157
2016,2,14,13,0
2016,2,14,14,0
2016,2,14,15,0
2016,2,14,16,0
2016,2,14,17,0
2016,2,14,18,0
2016,2,14,19,0
2016,2,14,20,0
2016,2,14,21,0
2016,2,14,22,0
2016,2,14,23,0
2016,2,15,0,0
2016,2,15,1,0
2016,2,15,2,0
2016,2,15,3,0
2016,2,15,4,0
2016,2,15,5,0
2016,2,15,6,0
2016,2,15,7,0
2016,2,15,8,32
2016,2,15,9,56
2016,2,15,10,99
2016,2,15,11,164
2016,2,15,12,930
2016,2,15,13,909
2016,2,15,14,352
2016,2,15,15,383
2016,2,15,16,309
2016,2,15,17,147
2016,2,15,18,0
2016,2,15,19,0
2016,2,15,20,0
2016,2,15,21,0
2016,2,15,22,0
2016,2,15,23,0
2016,2,16,0,0
2016,2,16,1,0
2016,2,16,2,0
2016,2,16,3,0
2016,2,16,4,0
2016,2,16,5,0
2016,2,16,6,0
2016,2,16,7,0
2016,2,16,8,515
2016,2,16,9,697
2016,2,16,10,909
2016,2,16,11,945
2016,2,16,12,959
2016,2,16,13,418
2016,2,16,14,329
2016,2,16,15,267
2016,2,16,16,230
2016,2,16,17,129
2016,2,16,18,0
2016,2,16,19,0
2016,2,16,20,0
2016,2,16,21,0
2016,2,16,22,0
2016,2,16,23,0
2016,2,17,0,0
2016,2,17,1,0
2016,2,17,2,0
2016,2,17,3,0
2016,2,17,4,0
2016,2,17,5,0
2016,2,17,6,0
2016,2,17,7,0
2016,2,17,8,228
2016,2,17,9,280
2016,2,17,10,151
2016,2,17,11,421
2016,2,17,12,106
2016,2,17,13,105
2016,2,17,14,9
2016,2,17,15,0
2016,2,17,16,0
2016,2,17,17,0
2016,2,17,18,0
2016,2,17,19,0
2016,2,17,20,0
2016,2,17,21,0
2016,2,17,22,0
2016,2,17,23,0
2016,2,18,0,0
2016,2,18,1,0
2016,2,18,2,0
2016,2,18,3,0
2016,2,18,4,0
2016,2,18,5,0
2016,2,18,6,0
2016,2,18,7,0
2016,2,18,8,588
2016,2,18,9,799
2016,2,18,10,696
2016,2,18,11,0
2016,2,18,12,0
2016,2,18,13,0
2016,2,18,14,0
2016,2,18,15,5
2016,2,18,16,0
2016,2,18,17,0
2016,2,18,18,0
2016,2,18,19,0
2016,2,18,20,0
2016,2,18,21,0
2016,2,18,22,0
2016,2,18,23,0
2016,2,19,0,0
2016,2,19,1,0
2016,2,19,2,0
2016,2,19,3,0
2016,2,19,4,0
2016,2,19,5,0
2016,2,19,6,0
2016,2,19,7,0
2016,2,19,8,725
2016,2,19,9,357
2016,2,19,10,737
2016,2,19,11,542
2016,2,19,12,624
2016,2,19,13,600
2016,2,19,14,506
2016,2,19,15,813
2016,2,19,16,671
2016,2,19,17,325
2016,2,19,18,0
2016,2,19,19,0
2016,2,19,20,0
2016,2,19,21,0
2016,2,19,22,0
2016,2,19,23,0
2016,2,20,0,0
2016,2,20,1,0
2016,2,20,2,0
2016,2,20,3,0
2016,2,20,4,0
2016,2,20,5,0
2016,2,20,6,0
2016,2,20,7,0
2016,2,20,8,34
2016,2,20,9,64
2016,2,20,10,344
2016,2,20,11,955
2016,2,20,12,977
2016,2,20,13,973
2016,2,20,14,939
2016,2,20,15,864
2016,2,20,16,734
2016,2,20,17,415
2016,2,20,18,0
2016,2,20,19,0
2016,2,20,20,0
2016,2,20,21,0
2016,2,20,22,0
2016,2,20,23,0
2016,2,21,0,0
2016,2,21,1,0
2016,2,21,2,0
2016,2,21,3,0
2016,2,21,4,0
2016,2,21,5,0
2016,2,21,6,0
2016,2,21,7,0
2016,2,21,8,223
2016,2,21,9,329
2016,2,21,10,107
2016,2,21,11,258
2016,2,21,12,939
2016,2,21,13,935
2016,2,21,14,899
2016,2,21,15,832
2016,2,21,16,707
2016,2,21,17,417
2016,2,21,18,0
2016,2,21,19,0
2016,2,21,20,0
2016,2,21,21,0
2016,2,21,22,0
2016,2,21,23,0
2016,2,22,0,0
2016,2,22,1,0
2016,2,22,2,0
2016,2,22,3,0
2016,2,22,4,0
2016,2,22,5,0
2016,2,22,6,0
2016,2,22,7,0
2016,2,22,8,0
2016,2,22,9,0
2016,2,22,10,93
2016,2,22,11,5
2016,2,22,12,301
2016,2,22,13,0
2016,2,22,14,122
2016,2,22,15,58
2016,2,22,16,45
2016,2,22,17,9
2016,2,22,18,0
2016,2,22,19,0
