Year,Month,Day,Hour,Minute,GHI,Temperature
2014,1,19,23,30,0,0
2014,1,20,0,30,0,0
2014,1,20,1,30,0,0
2014,1,20,2,30,0,0
2014,1,20,3,30,0,0
2014,1,20,4,30,0,0
2014,1,20,5,30,0,0
2014,1,20,6,30,0,0
2014,1,20,7,30,0,0
2014,1,20,8,30,85,0
2014,1,20,9,30,254,1
2014,1,20,10,30,403,3
2014,1,20,11,30,505,5
2014,1,20,12,30,547,6
2014,1,20,13,30,525,6
2014,1,20,14,30,442,5
2014,1,20,15,30,307,3
2014,1,20,16,30,139,1
2014,1,20,17,30,0,1
2014,1,20,18,30,0,0
2014,1,20,19,30,0,0
2014,1,20,20,30,0,0
2014,1,20,21,30,0,0
2014,1,20,22,30,0,0
2014,1,20,23,30,0,0
2014,1,21,0,30,0,0
2014,1,21,1,30,0,0
2014,1,21,2,30,0,-1
2014,1,21,3,30,0,-1
2014,1,21,4,30,0,-2
2014,1,21,5,30,0,-3
2014,1,21,6,30,0,-3
2014,1,21,7,30,0,-3
2014,1,21,8,30,92,-1
2014,1,21,9,30,263,1
2014,1,21,10,30,407,3
2014,1,21,11,30,505,4
2014,1,21,12,30,545,5
2014,1,21,13,30,523,6
2014,1,21,14,30,440,5
2014,1,21,15,30,307,4
2014,1,21,16,30,141,2
2014,1,21,17,30,0,1
2014,1,21,18,30,0,0
2014,1,21,19,30,0,0
2014,1,21,20,30,0,0
2014,1,21,21,30,0,0
2014,1,21,22,30,0,0
2014,1,21,23,30,0,0
2014,1,22,0,30,0,0
2014,1,22,1,30,0,0
2014,1,22,2,30,0,0
2014,1,22,3,30,0,0
2014,1,22,4,30,0,-1
2014,1,22,5,30,0,-1
2014,1,22,6,30,0,-1
2014,1,22,7,30,0,-2
2014,1,22,8,30,91,-1
2014,1,22,9,30,262,0
2014,1,22,10,30,410,2
2014,1,22,11,30,509,3
2014,1,22,12,30,549,3
2014,1,22,13,30,434,3
2014,1,22,14,30,355,3
2014,1,22,15,30,239,1
2014,1,22,16,30,24,0
2014,1,22,17,30,0,-1
2014,1,22,18,30,0,-2
2014,1,22,19,30,0,-2
2014,1,22,20,30,0,-2
2014,1,22,21,30,0,-2
2014,1,22,22,30,0,-3
2014,1,22,23,30,0,-3
2014,1,23,0,30,0,-3
2014,1,23,1,30,0,-4
2014,1,23,2,30,0,-5
2014,1,23,3,30,0,-5
2014,1,23,4,30,0,-5
2014,1,23,5,30,0,-6
2014,1,23,6,30,0,-6
2014,1,23,7,30,0,-6
2014,1,23,8,30,101,-5
2014,1,23,9,30,282,-2
2014,1,23,10,30,435,0
2014,1,23,11,30,537,2
2014,1,23,12,30,579,3
2014,1,23,13,30,556,4
2014,1,23,14,30,470,3
2014,1,23,15,30,332,2
2014,1,23,16,30,158,0
2014,1,23,17,30,0,0
2014,1,23,18,30,0,-1
2014,1,23,19,30,0,-2
2014,1,23,20,30,0,-2
2014,1,23,21,30,0,-3
2014,1,23,22,30,0,-3
2014,1,23,23,30,0,-4
2014,1,24,0,30,0,-4
2014,1,24,1,30,0,-5
2014,1,24,2,30,0,-5
2014,1,24,3,30,0,-5
2014,1,24,4,30,0,-5
2014,1,24,5,30,0,-5
2014,1,24,6,30,0,-4
2014,1,24,7,30,0,-4
2014,1,24,8,30,103,-3
2014,1,24,9,30,281,-1
2014,1,24,10,30,432,0
2014,1,24,11,30,533,1
2014,1,24,12,30,574,2
2014,1,24,13,30,551,3
2014,1,24,14,30,466,2
2014,1,24,15,30,330,1
2014,1,24,16,30,159,0
2014,1,24,17,30,0,-1
2014,1,24,18,30,0,-1
2014,1,24,19,30,0,-2
2014,1,24,20,30,0,-1
2014,1,24,21,30,0,-1
2014,1,24,22,30,0,-1
