Year,Month,Day,Hour,Minute,GHI,Temperature
2013,1,23,2,30,0,-9
2013,1,23,3,30,0,-8
2013,1,23,4,30,0,-8
2013,1,23,5,30,0,-8
2013,1,23,6,30,0,-8
2013,1,23,7,30,0,-7
2013,1,23,8,30,40,-5
2013,1,23,9,30,83,-2
2013,1,23,10,30,110,0
2013,1,23,11,30,200,0
2013,1,23,12,30,473,0
2013,1,23,13,30,463,0
2013,1,23,14,30,360,0
2013,1,23,15,30,222,0
2013,1,23,16,30,72,0
2013,1,23,17,30,0,0
2013,1,23,18,30,0,-1
2013,1,23,19,30,0,-2
2013,1,23,20,30,0,-3
2013,1,23,21,30,0,-3
2013,1,23,22,30,0,-3
2013,1,23,23,30,0,-2
2013,1,24,0,30,0,-2
2013,1,24,1,30,0,-1
2013,1,24,2,30,0,0
2013,1,24,3,30,0,0
2013,1,24,4,30,0,0
2013,1,24,5,30,0,0
2013,1,24,6,30,0,0
2013,1,24,7,30,0,0
2013,1,24,8,30,56,0
2013,1,24,9,30,57,0
2013,1,24,10,30,194,0
2013,1,24,11,30,109,0
2013,1,24,12,30,105,0
2013,1,24,13,30,193,0
2013,1,24,14,30,173,0
2013,1,24,15,30,28,0
2013,1,24,16,30,13,0
2013,1,24,17,30,0,0
2013,1,24,18,30,0,0
2013,1,24,19,30,0,-1
2013,1,24,20,30,0,-1
2013,1,24,21,30,0,-1
2013,1,24,22,30,0,-1
2013,1,24,23,30,0,-1
2013,1,25,0,30,0,-1
2013,1,25,1,30,0,-1
2013,1,25,2,30,0,-2
2013,1,25,3,30,0,-2
2013,1,25,4,30,0,-2
2013,1,25,5,30,0,-2
2013,1,25,6,30,0,-2
2013,1,25,7,30,0,-1
2013,1,25,8,30,91,0
2013,1,25,9,30,257,0
2013,1,25,10,30,85,0
2013,1,25,11,30,129,0
2013,1,25,12,30,144,1
2013,1,25,13,30,212,1
2013,1,25,14,30,182,1
2013,1,25,15,30,87,0
2013,1,25,16,30,35,0
2013,1,25,17,30,0,0
2013,1,25,18,30,0,0
2013,1,25,19,30,0,-1
2013,1,25,20,30,0,-1
2013,1,25,21,30,0,-2
2013,1,25,22,30,0,-2
2013,1,25,23,30,0,-2
2013,1,26,0,30,0,-2
2013,1,26,1,30,0,-2
2013,1,26,2,30,0,-2
2013,1,26,3,30,0,-3
2013,1,26,4,30,0,-4
2013,1,26,5,30,0,-4
2013,1,26,6,30,0,-3
2013,1,26,7,30,0,-2
2013,1,26,8,30,66,-1
2013,1,26,9,30,20,0
2013,1,26,10,30,210,0
2013,1,26,11,30,306,1
2013,1,26,12,30,298,1
2013,1,26,13,30,182,1
2013,1,26,14,30,102,1
2013,1,26,15,30,78,1
2013,1,26,16,30,42,1
2013,1,26,17,30,0,0
2013,1,26,18,30,0,0
2013,1,26,19,30,0,0
2013,1,26,20,30,0,0
2013,1,26,21,30,0,0
2013,1,26,22,30,0,0
2013,1,26,23,30,0,0
2013,1,27,0,30,0,-1
2013,1,27,1,30,0,-1
2013,1,27,2,30,0,-1
2013,1,27,3,30,0,-1
2013,1,27,4,30,0,-1
2013,1,27,5,30,0,-1
2013,1,27,6,30,0,-1
2013,1,27,7,30,0,0
2013,1,27,8,30,6,0
2013,1,27,9,30,17,0
2013,1,27,10,30,30,0
2013,1,27,11,30,46,0
2013,1,27,12,30,73,0
2013,1,27,13,30,96,0
2013,1,27,14,30,77,0
2013,1,27,15,30,12,-1
2013,1,27,16,30,27,-2
2013,1,27,17,30,0,-3
2013,1,27,18,30,0,-4
2013,1,27,19,30,0,-5
2013,1,27,20,30,0,-5
2013,1,27,21,30,0,-6
2013,1,27,22,30,0,-6
2013,1,27,23,30,0,-7
2013,1,28,0,30,0,-7
2013,1,28,1,30,0,-7
2013,1,28,2,30,0,-8
2013,1,28,3,30,0,-8
2013,1,28,4,30,0,-8
2013,1,28,5,30,0,-8
2013,1,28,6,30,0,-9
2013,1,28,7,30,0,-9
2013,1,28,8,30,7,-8
2013,1,28,9,30,20,-6
2013,1,28,10,30,95,-5
2013,1,28,11,30,141,-5
2013,1,28,12,30,201,-5
2013,1,28,13,30,568,-5
2013,1,28,14,30,291,-5
2013,1,28,15,30,231,-5
2013,1,28,16,30,66,-6
2013,1,28,17,30,5,-7
2013,1,28,18,30,0,-8
2013,1,28,19,30,0,-8
2013,1,28,20,30,0,-8
2013,1,28,21,30,0,-9
2013,1,28,22,30,0,-10
2013,1,28,23,30,0,-10
2013,1,29,0,30,0,-10
2013,1,29,1,30,0,-9
2013,1,29,2,30,0,-9
2013,1,29,3,30,0,-9
2013,1,29,4,30,0,-9
2013,1,29,5,30,0,-9
2013,1,29,6,30,0,-8
2013,1,29,7,30,0,-8
2013,1,29,8,30,62,-7
2013,1,29,9,30,53,-5
2013,1,29,10,30,109,-4
2013,1,29,11,30,211,-3
2013,1,29,12,30,184,-3
2013,1,29,13,30,151,-3
2013,1,29,14,30,211,-3
2013,1,29,15,30,77,-3
2013,1,29,16,30,97,-4
2013,1,29,17,30,16,-5
2013,1,29,18,30,0,-5
2013,1,29,19,30,0,-6
2013,1,29,20,30,0,-7
2013,1,29,21,30,0,-8
2013,1,29,22,30,0,-8
2013,1,29,23,30,0,-9
2013,1,30,0,30,0,-10
2013,1,30,1,30,0,-10
2013,1,30,2,30,0,-10
2013,1,30,3,30,0,-10
2013,1,30,4,30,0,-9
2013,1,30,5,30,0,-9
2013,1,30,6,30,0,-8
2013,1,30,7,30,0,-7
2013,1,30,8,30,13,-6
2013,1,30,9,30,28,-4
2013,1,30,10,30,78,-2
2013,1,30,11,30,52,0
2013,1,30,12,30,60,0
2013,1,30,13,30,133,0
2013,1,30,14,30,81,0
2013,1,30,15,30,24,0
2013,1,30,16,30,11,0
2013,1,30,17,30,1,-1
2013,1,30,18,30,0,-2
2013,1,30,19,30,0,-2
2013,1,30,20,30,0,-2
2013,1,30,21,30,0,-2
2013,1,30,22,30,0,-2
2013,1,30,23,30,0,-2
2013,1,31,0,30,0,-3
2013,1,31,1,30,0,-3
2013,1,31,2,30,0,-4
2013,1,31,3,30,0,-4
2013,1,31,4,30,0,-5
2013,1,31,5,30,0,-5
2013,1,31,6,30,0,-5
2013,1,31,7,30,0,-4
2013,1,31,8,30,116,-3
2013,1,31,9,30,77,-1
2013,1,31,10,30,114,0
2013,1,31,11,30,114,0
2013,1,31,12,30,168,0
2013,1,31,13,30,374,0
2013,1,31,14,30,145,0
2013,1,31,15,30,66,1
2013,1,31,16,30,33,1
2013,1,31,17,30,3,1
2013,1,31,18,30,0,0
2013,1,31,19,30,0,0
2013,1,31,20,30,0,0
2013,1,31,21,30,0,0
2013,1,31,22,30,0,0
2013,1,31,23,30,0,0
2013,2,1,0,30,0,-1
2013,2,1,1,30,0,-2
2013,2,1,2,30,0,-2
2013,2,1,3,30,0,-2
2013,2,1,4,30,0,-2
2013,2,1,5,30,0,-3
2013,2,1,6,30,0,-4
2013,2,1,7,30,0,-4
2013,2,1,8,30,120,-3
2013,2,1,9,30,157,-1
2013,2,1,10,30,173,0
2013,2,1,11,30,292,0
2013,2,1,12,30,420,0
2013,2,1,13,30,576,0
2013,2,1,14,30,492,1
2013,2,1,15,30,357,0
2013,2,1,16,30,185,0
2013,2,1,17,30,22,0
2013,2,1,18,30,0,0
2013,2,1,19,30,0,-1
2013,2,1,20,30,0,-2
2013,2,1,21,30,0,-3
2013,2,1,22,30,0,-3
2013,2,1,23,30,0,-4
2013,2,2,0,30,0,-4
2013,2,2,1,30,0,-5
2013,2,2,2,30,0,-6
2013,2,2,3,30,0,-7
2013,2,2,4,30,0,-7
2013,2,2,5,30,0,-8
2013,2,2,6,30,0,-8
2013,2,2,7,30,0,-7
2013,2,2,8,30,125,-5
2013,2,2,9,30,307,-2
2013,2,2,10,30,463,0
2013,2,2,11,30,568,0
2013,2,2,12,30,491,1
2013,2,2,13,30,427,1
2013,2,2,14,30,340,1
2013,2,2,15,30,273,0
2013,2,2,16,30,104,0
2013,2,2,17,30,13,0
2013,2,2,18,30,0,-1
2013,2,2,19,30,0,-2
2013,2,2,20,30,0,-3
2013,2,2,21,30,0,-3
2013,2,2,22,30,0,-3
2013,2,2,23,30,0,-3
2013,2,3,0,30,0,-3
2013,2,3,1,30,0,-3
2013,2,3,2,30,0,-3
2013,2,3,3,30,0,-3
2013,2,3,4,30,0,-4
2013,2,3,5,30,0,-4
2013,2,3,6,30,0,-4
2013,2,3,7,30,0,-3
2013,2,3,8,30,14,-2
2013,2,3,9,30,209,-1
2013,2,3,10,30,210,0
2013,2,3,11,30,313,0
2013,2,3,12,30,436,1
2013,2,3,13,30,590,1
2013,2,3,14,30,507,1
2013,2,3,15,30,371,0
2013,2,3,16,30,197,0
2013,2,3,17,30,27,-1
2013,2,3,18,30,0,-2
2013,2,3,19,30,0,-3
2013,2,3,20,30,0,-4
2013,2,3,21,30,0,-5
2013,2,3,22,30,0,-5
2013,2,3,23,30,0,-6
2013,2,4,0,30,0,-6
2013,2,4,1,30,0,-7
2013,2,4,2,30,0,-7
2013,2,4,3,30,0,-7
2013,2,4,4,30,0,-7
2013,2,4,5,30,0,-7
2013,2,4,6,30,0,-7
2013,2,4,7,30,0,-6
2013,2,4,8,30,28,-4
2013,2,4,9,30,94,-1
2013,2,4,10,30,266,0
2013,2,4,11,30,560,0
2013,2,4,12,30,606,1
2013,2,4,13,30,587,2
2013,2,4,14,30,506,2
2013,2,4,15,30,371,2
2013,2,4,16,30,198,1
2013,2,4,17,30,29,0
2013,2,4,18,30,0,-1
2013,2,4,19,30,0,-2
2013,2,4,20,30,0,-3
2013,2,4,21,30,0,-4
2013,2,4,22,30,0,-5
2013,2,4,23,30,0,-5
2013,2,5,0,30,0,-5
2013,2,5,1,30,0,-5
2013,2,5,2,30,0,-4
2013,2,5,3,30,0,-4
2013,2,5,4,30,0,-4
2013,2,5,5,30,0,-4
2013,2,5,6,30,0,-4
2013,2,5,7,30,0,-2
2013,2,5,8,30,22,0
2013,2,5,9,30,133,1
2013,2,5,10,30,320,2
2013,2,5,11,30,344,3
2013,2,5,12,30,293,4
2013,2,5,13,30,371,4
2013,2,5,14,30,331,3
2013,2,5,15,30,149,2
2013,2,5,16,30,16,0
2013,2,5,17,30,2,0
2013,2,5,18,30,0,0
2013,2,5,19,30,0,0
2013,2,5,20,30,0,-1
2013,2,5,21,30,0,0
2013,2,5,22,30,0,0
2013,2,5,23,30,0,0
2013,2,6,0,30,0,0
2013,2,6,1,30,0,1
2013,2,6,2,30,0,1
2013,2,6,3,30,0,0
2013,2,6,4,30,0,0
2013,2,6,5,30,0,-1
2013,2,6,6,30,0,-2
2013,2,6,7,30,0,-1
2013,2,6,8,30,49,0
2013,2,6,9,30,179,0
2013,2,6,10,30,244,1
2013,2,6,11,30,389,2
2013,2,6,12,30,282,2
2013,2,6,13,30,296,2
2013,2,6,14,30,531,1
2013,2,6,15,30,394,0
